station_id,stationame,month_beginning,avg_weekday_rides,avg_saturday_rides,avg_sunday-holiday_rides,monthtotal
41090,Monroe/State,06/01/2002,"7,268.3","4,277.4","2,409.4","178,800"
40560,Jackson/State,06/01/2002,"12,001.6","6,162.6","3,896.8","290,328"
40370,Washington/Dearborn,06/01/2002,"9,745.9","3,200.6","1,933.6","220,588"
40790,Monroe/Dearborn,06/01/2002,"5,585.6","1,813.8","1,110.2","126,331"
40070,Jackson/Dearborn,06/01/2002,"7,839.3","4,148.2","2,763.4","191,343"
40730,Washington/Wells,06/01/2002,"7,215.8",818.8,492.6,"150,872"
40040,Quincy/Wells,06/01/2002,"7,722.9","1,166",796.6,"164,271"
40160,LaSalle/Van Buren,06/01/2002,"3,209.5",296.6,196.4,"66,655"
40850,Library,06/01/2002,"2,317.8","1,240",725.8,"56,184"
40680,Adams/Wabash,06/01/2002,"6,949.1","4,551.4","2,901.8","176,247"
40260,State/Lake,06/01/2002,"8,665","5,140.6","3,991.4","218,959"
40380,Clark/Lake,06/01/2002,"15,494.2","2,965.2","2,263.4","336,027"
41660,Lake/State,07/01/2002,"14,266.3","7,052","5,177.4","367,953"
41090,Monroe/State,07/01/2002,"7,440.6","3,535.8","2,437.6","190,025"
40560,Jackson/State,07/01/2002,"12,671.1","5,879","4,562","325,090"
40370,Washington/Dearborn,07/01/2002,"9,899.5","3,057","2,054.2","240,288"
40790,Monroe/Dearborn,07/01/2002,"5,745.2","1,593","1,132.2","138,427"
40070,Jackson/Dearborn,07/01/2002,"9,144.2","4,133.8","3,568.8","235,551"
40730,Washington/Wells,07/01/2002,"7,189.7",993.8,445.4,"164,376"
40040,Quincy/Wells,07/01/2002,"7,545.2","1,188.8",861.4,"175,057"
40160,LaSalle/Van Buren,07/01/2002,"3,091.8",309.3,183.2,"70,172"
40850,Library,07/01/2002,"2,602.6","1,152.3",794,"65,837"
40680,Adams/Wabash,07/01/2002,"7,767.2","4,235.5","3,603.4","205,837"
40260,State/Lake,07/01/2002,"8,883","4,933.8","3,943.4","234,879"
40380,Clark/Lake,07/01/2002,"15,542.5","3,013.8","2,407.2","366,026"
41660,Lake/State,08/01/2002,"13,549.5","7,598.8","5,396.5","357,670"
41090,Monroe/State,08/01/2002,"6,804.1","3,258.6","1,838.5","173,338"
40560,Jackson/State,08/01/2002,"11,656.6","5,122.6","3,355.5","295,480"
40370,Washington/Dearborn,08/01/2002,"9,359","3,091.2","2,120.8","229,837"
40790,Monroe/Dearborn,08/01/2002,"5,380.5","1,277.2",934,"128,494"
40070,Jackson/Dearborn,08/01/2002,"8,129.3","3,139.2","2,451.8","204,347"
40730,Washington/Wells,08/01/2002,"7,008.1",822.2,531.5,"160,415"
40040,Quincy/Wells,08/01/2002,"7,301.5","1,221.2",858.3,"170,171"
40160,LaSalle/Van Buren,08/01/2002,"3,025.9",342.4,203.8,"69,096"
40850,Library,08/01/2002,"2,258.4",779.8,488.3,"55,536"
40680,Adams/Wabash,08/01/2002,"6,619.2","2,906.2","1,896.5","167,739"
40260,State/Lake,08/01/2002,"8,487.7","5,145.4","4,270.3","229,537"
40380,Clark/Lake,08/01/2002,"15,255.5","3,091.6","2,837.5","362,429"
41660,Lake/State,09/01/2002,"14,463.7","7,158.8","5,031","348,094"
41090,Monroe/State,09/01/2002,"6,794.2","2,782.8","1,821.8","157,945"
40560,Jackson/State,09/01/2002,"13,850","5,244.3","3,252.5","317,491"
40370,Washington/Dearborn,09/01/2002,"9,831.7","3,041.5","1,838.8","219,832"
40790,Monroe/Dearborn,09/01/2002,"5,931.1","1,450.8",918.7,"129,936"
40070,Jackson/Dearborn,09/01/2002,"9,302.1","3,397","2,293.5","213,390"
40730,Washington/Wells,09/01/2002,"7,252.9",806.3,473.8,"151,126"
40040,Quincy/Wells,09/01/2002,"7,527.4","1,122.8",878.5,"160,309"
40160,LaSalle/Van Buren,09/01/2002,"3,137.1",342.5,178.3,"65,181"
40850,Library,09/01/2002,"2,739.9",880.5,447.3,"61,003"
40680,Adams/Wabash,09/01/2002,"7,386.8","3,208.3","1,886.2","171,885"
40260,State/Lake,09/01/2002,"9,446.6","4,954","3,729.3","231,124"
40380,Clark/Lake,09/01/2002,"15,703.9","3,016.8","2,299.5","339,942"
41660,Lake/State,10/01/2002,"14,294.8","7,662.3","5,690.5","382,191"
41090,Monroe/State,10/01/2002,"6,714.6","2,990.8","2,220","175,278"
40560,Jackson/State,10/01/2002,"14,200.7","5,366","5,775.3","371,182"
40370,Washington/Dearborn,10/01/2002,"9,866.9","3,300.5","2,035.3","248,282"
40790,Monroe/Dearborn,10/01/2002,"5,884","1,372.5","1,068.5","145,096"
40070,Jackson/Dearborn,10/01/2002,"9,709.4","3,388.3","3,026.5","248,976"
40730,Washington/Wells,10/01/2002,"7,255",915.8,569.3,"172,804"
40040,Quincy/Wells,10/01/2002,"7,443.2","1,196.3","1,002","179,986"
40160,LaSalle/Van Buren,10/01/2002,"3,159.5",323,230,"74,880"
40850,Library,10/01/2002,"2,943.8",964,749.5,"74,561"
40680,Adams/Wabash,10/01/2002,"7,734.2","2,926.3","2,701.5","200,398"
40260,State/Lake,10/01/2002,"9,309.7","5,199.5","3,865.3","250,383"
40380,Clark/Lake,10/01/2002,"15,733.6","3,215.5","2,728","385,647"
41660,Lake/State,11/01/2002,"13,722","7,539.8","4,408.4","334,180"
